[True, False, True]
Run timestamp: 06102023_193137_22.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.0', '--lambda_gene_expr_recon', '3000.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_22']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 63, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9239; val_auprc_score: 0.9875; val_best_acc_score: 0.9324; val_best_f1_score: 0.9626; train_kl_reg_loss: 10909.6665; train_edge_recon_loss: 628830.6415; train_gene_expr_recon_loss: 2595542.3219; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3235282.6273; train_optim_loss: 3235282.6273; val_kl_reg_loss: 12869.5376; val_edge_recon_loss: 639719.5287; val_gene_expr_recon_loss: 2256099.2060; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2908688.2662; val_optim_loss: 2908688.2662
Epoch 25/400 |█-------------------| 6.2% val_auroc_score: 0.9533; val_auprc_score: 0.9925; val_best_acc_score: 0.9473; val_best_f1_score: 0.9706; train_kl_reg_loss: 23739.2339; train_edge_recon_loss: 608916.3258; train_gene_expr_recon_loss: 1975639.3795; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2608294.9366; train_optim_loss: 2608294.9366; val_kl_reg_loss: 23835.3400; val_edge_recon_loss: 637742.7916; val_gene_expr_recon_loss: 1965718.7064; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2627296.8302; val_optim_loss: 2627296.8302
Epoch 26/400 |█-------------------| 6.5% val_auroc_score: 0.9452; val_auprc_score: 0.9909; val_best_acc_score: 0.9433; val_best_f1_score: 0.9684; train_kl_reg_loss: 22654.0441; train_edge_recon_loss: 617029.3310; train_gene_expr_recon_loss: 1823308.4615; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2462991.8364; train_optim_loss: 2462991.8364; val_kl_reg_loss: 14896.8664; val_edge_recon_loss: 642991.7160; val_gene_expr_recon_loss: 1808566.5926; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2466455.1798; val_optim_loss: 2466455.1798
Epoch 27/400 |█-------------------| 6.8% val_auroc_score: 0.9443; val_auprc_score: 0.9905; val_best_acc_score: 0.9436; val_best_f1_score: 0.9686; train_kl_reg_loss: 21437.8339; train_edge_recon_loss: 614881.6518; train_gene_expr_recon_loss: 1787485.4562; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2423804.9403; train_optim_loss: 2423804.9403; val_kl_reg_loss: 14954.8073; val_edge_recon_loss: 644363.3569; val_gene_expr_recon_loss: 1781292.8511; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2440611.0208; val_optim_loss: 2440611.0208
Epoch 28/400 |█-------------------| 7.0% val_auroc_score: 0.9484; val_auprc_score: 0.9914; val_best_acc_score: 0.9445; val_best_f1_score: 0.9690; train_kl_reg_loss: 19715.5698; train_edge_recon_loss: 615278.3055; train_gene_expr_recon_loss: 1764568.4532; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2399562.3286; train_optim_loss: 2399562.3286; val_kl_reg_loss: 15257.4209; val_edge_recon_loss: 644571.9485; val_gene_expr_recon_loss: 1761054.3889; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2420883.7593; val_optim_loss: 2420883.7593
Epoch 29/400 |█-------------------| 7.2% val_auroc_score: 0.9481; val_auprc_score: 0.9916; val_best_acc_score: 0.9450; val_best_f1_score: 0.9694; train_kl_reg_loss: 18520.4220; train_edge_recon_loss: 613073.1351; train_gene_expr_recon_loss: 1749030.8956; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2380624.4545; train_optim_loss: 2380624.4545; val_kl_reg_loss: 15607.8920; val_edge_recon_loss: 636102.9421; val_gene_expr_recon_loss: 1746332.1651; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2398042.9923; val_optim_loss: 2398042.9923
Epoch 30/400 |█-------------------| 7.5% val_auroc_score: 0.9486; val_auprc_score: 0.9918; val_best_acc_score: 0.9442; val_best_f1_score: 0.9690; train_kl_reg_loss: 17921.5155; train_edge_recon_loss: 611947.0373; train_gene_expr_recon_loss: 1736103.5497; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2365972.1038; train_optim_loss: 2365972.1038; val_kl_reg_loss: 15925.4244; val_edge_recon_loss: 636183.9199; val_gene_expr_recon_loss: 1735118.8021; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2387228.1458; val_optim_loss: 2387228.1458
Epoch 31/400 |█-------------------| 7.8% val_auroc_score: 0.9484; val_auprc_score: 0.9918; val_best_acc_score: 0.9445; val_best_f1_score: 0.9692; train_kl_reg_loss: 17521.9403; train_edge_recon_loss: 611208.5360; train_gene_expr_recon_loss: 1726152.6897; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2354883.1667; train_optim_loss: 2354883.1667; val_kl_reg_loss: 15722.6006; val_edge_recon_loss: 632166.2885; val_gene_expr_recon_loss: 1726255.4776; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2374144.3603; val_optim_loss: 2374144.3603
Epoch 32/400 |█-------------------| 8.0% val_auroc_score: 0.9495; val_auprc_score: 0.9918; val_best_acc_score: 0.9456; val_best_f1_score: 0.9697; train_kl_reg_loss: 17358.7192; train_edge_recon_loss: 611241.6248; train_gene_expr_recon_loss: 1719533.5643; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2348133.9093; train_optim_loss: 2348133.9093; val_kl_reg_loss: 15849.7708; val_edge_recon_loss: 641095.7987; val_gene_expr_recon_loss: 1722746.1219; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2379691.6921; val_optim_loss: 2379691.6921
Epoch 33/400 |█-------------------| 8.2% val_auroc_score: 0.9514; val_auprc_score: 0.9921; val_best_acc_score: 0.9465; val_best_f1_score: 0.9702; train_kl_reg_loss: 17177.0771; train_edge_recon_loss: 610628.9134; train_gene_expr_recon_loss: 1716085.4597; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2343891.4506; train_optim_loss: 2343891.4506; val_kl_reg_loss: 15845.2402; val_edge_recon_loss: 638106.1601; val_gene_expr_recon_loss: 1720211.8160; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2374163.2168; val_optim_loss: 2374163.2168
Epoch 34/400 |█-------------------| 8.5% val_auroc_score: 0.9508; val_auprc_score: 0.9922; val_best_acc_score: 0.9468; val_best_f1_score: 0.9704; train_kl_reg_loss: 17071.4294; train_edge_recon_loss: 610604.3812; train_gene_expr_recon_loss: 1713808.7742; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2341484.5847; train_optim_loss: 2341484.5847; val_kl_reg_loss: 15990.8492; val_edge_recon_loss: 631053.1947; val_gene_expr_recon_loss: 1717066.0675; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2364110.1080; val_optim_loss: 2364110.1080
Epoch 35/400 |█-------------------| 8.8% val_auroc_score: 0.9530; val_auprc_score: 0.9924; val_best_acc_score: 0.9464; val_best_f1_score: 0.9702; train_kl_reg_loss: 16865.0245; train_edge_recon_loss: 608569.8330; train_gene_expr_recon_loss: 1712143.3098; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2337578.1698; train_optim_loss: 2337578.1698; val_kl_reg_loss: 16032.7593; val_edge_recon_loss: 637171.4274; val_gene_expr_recon_loss: 1715823.1493; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2369027.3333; val_optim_loss: 2369027.3333
Epoch 36/400 |█-------------------| 9.0% val_auroc_score: 0.9508; val_auprc_score: 0.9920; val_best_acc_score: 0.9462; val_best_f1_score: 0.9700; train_kl_reg_loss: 16775.0917; train_edge_recon_loss: 612095.4654; train_gene_expr_recon_loss: 1710835.0703; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2339705.6259; train_optim_loss: 2339705.6259; val_kl_reg_loss: 16165.7307; val_edge_recon_loss: 633974.7985; val_gene_expr_recon_loss: 1715410.8927; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2365551.4090; val_optim_loss: 2365551.4090
Epoch 37/400 |█-------------------| 9.2% val_auroc_score: 0.9504; val_auprc_score: 0.9920; val_best_acc_score: 0.9465; val_best_f1_score: 0.9702; train_kl_reg_loss: 16724.4201; train_edge_recon_loss: 607830.0173; train_gene_expr_recon_loss: 1707190.8934; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2331745.3333; train_optim_loss: 2331745.3333; val_kl_reg_loss: 15954.8643; val_edge_recon_loss: 630473.3651; val_gene_expr_recon_loss: 1711566.2164; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2357994.4444; val_optim_loss: 2357994.4444
Epoch 38/400 |█-------------------| 9.5% val_auroc_score: 0.9517; val_auprc_score: 0.9923; val_best_acc_score: 0.9472; val_best_f1_score: 0.9706; train_kl_reg_loss: 16688.3822; train_edge_recon_loss: 607895.1023; train_gene_expr_recon_loss: 1703866.4852; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2328449.9689; train_optim_loss: 2328449.9689; val_kl_reg_loss: 16025.6457; val_edge_recon_loss: 632080.2563; val_gene_expr_recon_loss: 1708292.1184; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2356398.0162; val_optim_loss: 2356398.0162
Epoch 39/400 |█-------------------| 9.8% val_auroc_score: 0.9521; val_auprc_score: 0.9923; val_best_acc_score: 0.9474; val_best_f1_score: 0.9707; train_kl_reg_loss: 16649.8159; train_edge_recon_loss: 610837.5492; train_gene_expr_recon_loss: 1701679.8321; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2329167.1981; train_optim_loss: 2329167.1981; val_kl_reg_loss: 15925.3877; val_edge_recon_loss: 632828.6997; val_gene_expr_recon_loss: 1705332.7712; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2354086.8596; val_optim_loss: 2354086.8596
Epoch 40/400 |██------------------| 10.0% val_auroc_score: 0.9528; val_auprc_score: 0.9924; val_best_acc_score: 0.9471; val_best_f1_score: 0.9705; train_kl_reg_loss: 16593.6510; train_edge_recon_loss: 610110.3950; train_gene_expr_recon_loss: 1699319.2132; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2326023.2598; train_optim_loss: 2326023.2598; val_kl_reg_loss: 15950.8055; val_edge_recon_loss: 640083.3014; val_gene_expr_recon_loss: 1703094.2311; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2359128.3364; val_optim_loss: 2359128.3364
Epoch 41/400 |██------------------| 10.2% val_auroc_score: 0.9528; val_auprc_score: 0.9924; val_best_acc_score: 0.9472; val_best_f1_score: 0.9705; train_kl_reg_loss: 16467.0052; train_edge_recon_loss: 609641.2769; train_gene_expr_recon_loss: 1696682.6651; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2322790.9442; train_optim_loss: 2322790.9442; val_kl_reg_loss: 16009.2643; val_edge_recon_loss: 637090.6622; val_gene_expr_recon_loss: 1700509.7990; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2353609.7238; val_optim_loss: 2353609.7238
Epoch 42/400 |██------------------| 10.5% val_auroc_score: 0.9515; val_auprc_score: 0.9922; val_best_acc_score: 0.9464; val_best_f1_score: 0.9701; train_kl_reg_loss: 16422.1766; train_edge_recon_loss: 609470.1907; train_gene_expr_recon_loss: 1694915.5044; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2320807.8721; train_optim_loss: 2320807.8721; val_kl_reg_loss: 15460.7358; val_edge_recon_loss: 640762.5967; val_gene_expr_recon_loss: 1700576.0887; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2356799.4205; val_optim_loss: 2356799.4205
Epoch 43/400 |██------------------| 10.8% val_auroc_score: 0.9525; val_auprc_score: 0.9926; val_best_acc_score: 0.9475; val_best_f1_score: 0.9708; train_kl_reg_loss: 16454.4488; train_edge_recon_loss: 609768.4535; train_gene_expr_recon_loss: 1693246.4225; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2319469.3255; train_optim_loss: 2319469.3255; val_kl_reg_loss: 15663.1263; val_edge_recon_loss: 627046.6828; val_gene_expr_recon_loss: 1697744.8549; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2340454.6698; val_optim_loss: 2340454.6698
Epoch 44/400 |██------------------| 11.0% val_auroc_score: 0.9528; val_auprc_score: 0.9925; val_best_acc_score: 0.9480; val_best_f1_score: 0.9711; train_kl_reg_loss: 16323.9154; train_edge_recon_loss: 609741.9309; train_gene_expr_recon_loss: 1691232.5175; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2317298.3635; train_optim_loss: 2317298.3635; val_kl_reg_loss: 15577.2374; val_edge_recon_loss: 633202.9155; val_gene_expr_recon_loss: 1695561.1871; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2344341.3364; val_optim_loss: 2344341.3364
Epoch 45/400 |██------------------| 11.2% val_auroc_score: 0.9530; val_auprc_score: 0.9924; val_best_acc_score: 0.9479; val_best_f1_score: 0.9710; train_kl_reg_loss: 16111.2381; train_edge_recon_loss: 609945.0053; train_gene_expr_recon_loss: 1688906.6134; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2314962.8571; train_optim_loss: 2314962.8571; val_kl_reg_loss: 15479.3400; val_edge_recon_loss: 637312.6535; val_gene_expr_recon_loss: 1692493.9070; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2345285.8997; val_optim_loss: 2345285.8997
Epoch 46/400 |██------------------| 11.5% val_auroc_score: 0.9521; val_auprc_score: 0.9923; val_best_acc_score: 0.9478; val_best_f1_score: 0.9709; train_kl_reg_loss: 16049.0097; train_edge_recon_loss: 610410.6927; train_gene_expr_recon_loss: 1683557.7933; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2310017.4950; train_optim_loss: 2310017.4950; val_kl_reg_loss: 15637.0566; val_edge_recon_loss: 633444.3206; val_gene_expr_recon_loss: 1686860.6451; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2335942.0224; val_optim_loss: 2335942.0224
Epoch 47/400 |██------------------| 11.8% val_auroc_score: 0.9529; val_auprc_score: 0.9923; val_best_acc_score: 0.9477; val_best_f1_score: 0.9709; train_kl_reg_loss: 16021.8062; train_edge_recon_loss: 607890.8712; train_gene_expr_recon_loss: 1680409.4973; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2304322.1750; train_optim_loss: 2304322.1750; val_kl_reg_loss: 15684.0748; val_edge_recon_loss: 630936.0155; val_gene_expr_recon_loss: 1684891.7284; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2331511.8171; val_optim_loss: 2331511.8171
Epoch 48/400 |██------------------| 12.0% val_auroc_score: 0.9540; val_auprc_score: 0.9928; val_best_acc_score: 0.9484; val_best_f1_score: 0.9712; train_kl_reg_loss: 212044119223.3159; train_edge_recon_loss: 609799.1792; train_gene_expr_recon_loss: 1690597.9052; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 212046418517.2875; train_optim_loss: 212046418517.2875; val_kl_reg_loss: 16370.6831; val_edge_recon_loss: 627469.3348; val_gene_expr_recon_loss: 1690528.7106; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2334368.7261; val_optim_loss: 2334368.7261
Epoch 49/400 |██------------------| 12.2% val_auroc_score: 0.9528; val_auprc_score: 0.9924; val_best_acc_score: 0.9475; val_best_f1_score: 0.9707; train_kl_reg_loss: 16570.6584; train_edge_recon_loss: 610447.3639; train_gene_expr_recon_loss: 1685564.3553; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2312582.3787; train_optim_loss: 2312582.3787; val_kl_reg_loss: 16351.7421; val_edge_recon_loss: 638113.5748; val_gene_expr_recon_loss: 1688356.8484; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2342822.1613; val_optim_loss: 2342822.1613
Epoch 50/400 |██------------------| 12.5% val_auroc_score: 0.9554; val_auprc_score: 0.9929; val_best_acc_score: 0.9477; val_best_f1_score: 0.9709; train_kl_reg_loss: 16517.4371; train_edge_recon_loss: 608786.7968; train_gene_expr_recon_loss: 1682333.3613; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2307637.5940; train_optim_loss: 2307637.5940; val_kl_reg_loss: 16283.5595; val_edge_recon_loss: 637006.5492; val_gene_expr_recon_loss: 1687748.0370; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2341038.1458; val_optim_loss: 2341038.1458
Epoch 51/400 |██------------------| 12.8% val_auroc_score: 0.9546; val_auprc_score: 0.9928; val_best_acc_score: 0.9480; val_best_f1_score: 0.9711; train_kl_reg_loss: 16453.7641; train_edge_recon_loss: 607272.2460; train_gene_expr_recon_loss: 1679704.0386; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2303430.0476; train_optim_loss: 2303430.0476; val_kl_reg_loss: 16236.9468; val_edge_recon_loss: 627907.7793; val_gene_expr_recon_loss: 1684774.7566; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2328919.4807; val_optim_loss: 2328919.4807
Epoch 52/400 |██------------------| 13.0% val_auroc_score: 0.9534; val_auprc_score: 0.9926; val_best_acc_score: 0.9482; val_best_f1_score: 0.9711; train_kl_reg_loss: 16417.3008; train_edge_recon_loss: 606277.1751; train_gene_expr_recon_loss: 1678226.9710; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2300921.4453; train_optim_loss: 2300921.4453; val_kl_reg_loss: 16027.4904; val_edge_recon_loss: 628604.1481; val_gene_expr_recon_loss: 1682678.9109; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2327310.5521; val_optim_loss: 2327310.5521
Epoch 53/400 |██------------------| 13.2% val_auroc_score: 0.9541; val_auprc_score: 0.9926; val_best_acc_score: 0.9479; val_best_f1_score: 0.9710; train_kl_reg_loss: 16311.6919; train_edge_recon_loss: 609332.0551; train_gene_expr_recon_loss: 1677106.0270; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2302749.7760; train_optim_loss: 2302749.7760; val_kl_reg_loss: 15912.0457; val_edge_recon_loss: 636918.0289; val_gene_expr_recon_loss: 1683772.1150; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2336602.1852; val_optim_loss: 2336602.1852
Epoch 54/400 |██------------------| 13.5% val_auroc_score: 0.9542; val_auprc_score: 0.9928; val_best_acc_score: 0.9482; val_best_f1_score: 0.9711; train_kl_reg_loss: 16123.0414; train_edge_recon_loss: 608277.5069; train_gene_expr_recon_loss: 1675703.7955; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2300104.3465; train_optim_loss: 2300104.3465; val_kl_reg_loss: 15763.6043; val_edge_recon_loss: 630413.7141; val_gene_expr_recon_loss: 1679536.5436; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2325713.8688; val_optim_loss: 2325713.8688
